id,display_name
56964,Buxtonella sulcata<Buxtonella<Pycnotrichidae
56868,Buxtonella sulcata<Buxtonella<Balantidiidae
83724,Byblis<Ampeliscidae
29194,Byblis<Lamiales
53053,Caenorhabditis<Rhabditoidea
75179,Caenorhabditis elegans<Caenorhabditis<Rhabditoidea
17390,Cafeteria<Cafeteriaceae
27961,Cafeteria sp.<Cafeteria<Cafeteriaceae
27241,Calcidiscus leptoporus<Calcidiscus
33081,Calocedrus macrolepis<Calocedrus
91018,Calypogeia muelleriana<Chloroplast
53357,Calyptronema<Oncholaimoidea
79458,Camarosporium<mitosporic Pleosporales
40740,Candida glabrata<mitosporic
40428,Candida glabrata<Candida
67152,Ephemera sp.
92230,bract<Diphyidae
51522,Capillaster<Comasteridae
26126,Capillaster<Echinodermata XX
72886,Capillaster multiradiatus<Capillaster<Comasteridae
51606,Capillaster multiradiatus<Capillaster<Echinodermata XX
14648,Capreolia implexa<Capreolia
52100,Capsella<Veneroida
29817,Capsella<Brassicales
31117,Carchesium<Chilodonellidae
31101,Carchesium<Vorticellidae
57264,Carchesium polypinum<Carchesium<Chilodonellidae
57192,Carchesium polypinum<Carchesium<Vorticellidae
57909,Caryospora<Eimeriidae 1
24623,Catenaria sp.<Catenaria<Blastocladiomycetes
16918,Catenulida<Turbellaria
12937,Catenulida<Platyhelminthes
27030,Catenulida X<Catenulida<Turbellaria
26876,Catenulida X sp.<Catenulida X<Catenulida<Platyhelminthes
48877,Cathedra<Pterygota
21051,Caulerpa sertularioides<Caulerpa
28640,Caulerpella ambigua<Caulerpella
25471,Caullerya mesnili<Caullerya
33165,Cedrus atlantica<Cedrus
93723,Ectinosomatidae
91028,Cephalotaxus harringtonia<Chloroplast
33182,Cephalotaxus harringtonia<Cephalotaxus
91031,Ceratozamia miqueliana<Chloroplast
33198,Ceratozamia miqueliana<Ceratozamia
90359,Cerianthidae<Ceriantharia<Anthozoa
55859,Chaetoceros calcitrans<Chaetoceros
85492,Chaetoceros convolutus<Chaetoceros<Mediophyceae
91543,Chaetosphaeridium globosum<Chloroplast
